조사분기,표본구분,광역상권,상권명,시군구코드,용도지역1명,용도지역2명,용도지구1명,용도지구2명,이용현황_지상층수,이용현황_지하층수,사용승인일자,건물구조명,건물주용도,건폐율,용적률,지하철역출구,버스정류장,도로접면명,옥내주차장 유무명,옥외주차장 유무명,승객용 승강기,대지면적,건축연면적,전용면적,공용면적,전용률,현재임대계약면적,공실면적,비임대면적,특이면적,특이면적외 기타면적,지목명,토지대장상 토지면적,전환률,조사층,임차인사용현황구분,임차인업종대분류,임차인업종소분류,전용면적(호),공용면적(호),임차인별면적합계,제1월계약임대료_보증금,제1월계약임대료_월세,제1월계약임대료_㎡당환산임대료,제1월시장임대료_보증금,제1월시장임대료_월세,제1월시장임대료_㎡당환산임대료,제1월관리비총액,제1월관리비실비총액,제1월공실,제2월계약임대료_보증금,제2월계약임대료_월세,제2월계약임대료_㎡당환산임대료,제2월시장임대료_보증금,제2월시장임대료_월세,제2월시장임대료_㎡당환산임대료,제2월관리비총액,제2월관리비실비총액,제2월공실,제3월계약임대료_보증금,제3월계약임대료_월세,제3월계약임대료_㎡당환산임대료,제3월시장임대료_보증금,제3월시장임대료_월세,제3월시장임대료_㎡당환산임대료,제3월관리비총액,제3월관리비실비총액,제3월공실,현계약개시일,현계약기간,최초계약개시일,최종조사산정액_토지면적 ㎡단가,최종조사산정액_연면적 ㎡당단가,기타수입_연면적 ㎡당 단가,영업경비_연면적 ㎡당 단가
202601,6,,구리역,41310,22,0,300,0,1,0,1,12,03,1,1,900,110,6,0,0,0,2,2,4,1,10,2,1,1,1,1,8,2,3,1,1,G,474,1,1,1,6,4,9,6,4,39900,1,1,0,6,4,9,6,4,39900,1,1,0,6,4,9,6,4,39700,1,1,0,2024,3,10,9050000,10730000,1,2
202601,6,,구리역,41310,22,0,300,0,1,0,5,21,04,7,2,없음,180,5,0,1,0,2,2,4,1,10,2,1,1,1,1,8,2,3,1,1,I,562,4,1,4,6,6,8,6,6,30600,1,1,0,6,6,8,6,6,30600,1,1,0,6,6,8,6,6,30600,1,1,0,2026,3,10,14300000,12450000,1,1
202601,6,,구리역,41310,22,0,300,0,1,0,5,21,04,7,2,없음,180,5,0,1,0,2,2,4,1,10,2,1,1,1,1,8,2,3,2,1,I,562,4,1,4,5,5,7,5,5,15200,1,1,0,5,5,7,5,5,15200,1,1,0,5,5,7,5,5,15200,1,1,0,2025,3,9,14300000,12450000,1,1
202601,6,,구리역,41310,22,0,300,0,1,0,3,19,03,8,2,726,131,7,0,0,0,1,1,2,1,10,1,1,1,1,1,8,1,3,1,1,G,472,2,1,2,6,5,10,6,5,66700,1,1,0,6,5,10,6,5,66700,1,1,0,6,5,10,6,5,66600,1,1,0,2025,3,10,18000000,14770000,1,3
202601,6,,구리역,41310,22,0,300,0,1,0,3,19,03,8,2,726,131,7,0,0,0,1,1,2,1,10,1,1,1,1,1,8,1,3,2,1,G,472,1,1,1,5,4,9,5,4,36800,1,1,0,5,4,9,5,4,36800,1,1,0,5,4,9,5,4,36800,1,1,0,2025,3,10,18000000,14770000,1,3
202601,6,,구리역,41310,22,0,300,0,1,0,3,32,04,7,1,742,116,9,0,0,0,2,2,4,1,10,2,1,1,1,1,8,2,3,1,1,I,561,3,1,3,6,6,8,6,5,24100,1,1,0,6,6,8,6,5,24100,1,1,0,6,6,8,6,5,24200,1,1,0,2024,3,10,8980000,13950000,1,1
202601,6,,구리역,41310,22,0,300,0,1,0,3,32,04,7,1,742,116,9,0,0,0,2,2,4,1,10,2,1,1,1,1,8,2,3,1,1,I,561,2,1,2,5,4,8,5,4,24000,1,1,0,5,4,8,5,4,24000,1,1,0,5,4,8,5,4,24000,1,1,0,2024,3,10,8980000,13950000,1,1
202601,6,,구리역,41310,22,0,300,0,1,0,1,19,04,1,1,603,95,8,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,I,561,3,1,3,6,6,8,6,6,32000,1,1,0,6,6,8,6,6,32000,1,1,0,6,6,8,6,6,32100,1,1,0,2026,3,10,8930000,13580000,1,2
202601,6,,구리역,41310,22,0,300,0,1,0,1,11,04,1,1,473,69,6,0,0,0,2,2,4,1,10,1,1,1,1,1,8,2,3,1,1,I,561,3,1,3,7,6,9,7,6,44300,1,1,0,7,6,9,7,6,44300,1,1,0,7,6,9,7,6,44200,1,1,0,2025,3,9,10900000,8440000,1,1
202601,6,,구리역,41310,22,0,300,0,1,0,1,11,04,1,1,473,69,6,0,0,0,2,2,4,1,10,1,1,1,1,1,8,2,3,2,2,S,961,2,1,2,1,1,1,5,4,17500,1,1,0,1,1,1,5,4,17500,1,1,0,1,1,1,5,4,17500,1,1,0,0,1,1,10900000,8440000,1,1
